"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"	"Effort"	"Attend"	"Anx"
46	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Absent"	6	5	6
47	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	6	"Present"	7	7	5
48	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	15	"Absent"	6	6	6
49	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	8	"Present"	6	6	6
50	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	9	"Absent"	7	7	4
51	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	15	"Present"	7	7	5
52	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	12	"Absent"	6	7	4
53	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	NA	NA	NA
54	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	5	"Absent"	6	3	4
55	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	9	"Present"	5	5	5
56	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	11	"Absent"	7	7	6
57	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	6	"Present"	7	7	4
58	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	21	"Absent"	3	3	4
59	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	2	4	1
60	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	22	"Absent"	7	7	1
61	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	22	"Present"	7	7	6
62	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	4	"Absent"	7	7	5
63	"WITnumErr_bw"	30	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	23	"Present"	5	5	5
64	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	12	"Absent"	6	3	2
65	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	15	"Present"	4	3	2
66	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	8	"Absent"	6	6	4
67	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	10	"Present"	7	7	3
68	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	23	"Absent"	6	5	3
69	"WITnumErr_bw"	27	"black_con"	"WIT"	"congruent"	"black"	"gun"	16	11	"Present"	4	5	5
70	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	20	"Absent"	6	6	7
71	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	12	"Present"	5	5	6
72	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	4	"Absent"	5	7	2
73	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	17	2	"Present"	4	6	5
74	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	2	"Absent"	6	5	4
75	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	15	"Present"	7	5	5
76	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	0	"Absent"	6	6	5
77	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	11	9	"Present"	6	6	5
78	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	4	"Absent"	7	7	5
79	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	17	"Present"	7	7	5
80	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	14	"Absent"	5	4	5
81	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	12	"Present"	6	6	4
82	"WITnumErr_bw"	31	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	21	"Absent"	4	4	3
83	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	1	"Present"	6	5	3
84	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	6	"Absent"	5	5	3
85	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	2	"Present"	6	6	5
86	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	13	"Absent"	7	6	4
87	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	1	"Present"	7	7	2
88	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	7	"Absent"	7	6	7
89	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	6	"Present"	5	5	7
90	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	9	"Absent"	6	5	5
91	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	9	"Present"	7	7	3
92	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	5	"Absent"	6	6	6
93	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	4	"Present"	6	5	4
94	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	7	"Absent"	6	5	5
95	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	7	"Present"	6	6	3
96	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	9	"Absent"	7	7	6
97	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	4	"Present"	7	7	5
98	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	5	"Absent"	6	6	5
99	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	5	"Present"	6	5	1
100	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	6	"Absent"	6	5	4
101	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	1	"Present"	6	6	4
1	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	16	"Present"	6	6	1
2	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	17	"Absent"	6	6	3
3	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	14	8	"Present"	7	7	6
4	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Absent"	5	5	3
5	"WITnumErr_ww"	22	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	17	"Present"	6	5	6
6	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	11	"Absent"	5	5	3
7	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	6	6	5
8	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	16	"Absent"	2	2	4
9	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	6	5	5
10	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	15	"Absent"	7	7	5
11	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	14	"Present"	5	5	2
12	"WITnumErr_ww"	33	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	27	"Absent"	6	5	6
13	"WITnumErr_ww"	9	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	7	"Present"	7	5	5
14	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	13	"Absent"	6	7	6
15	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"	6	5	6
16	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	14	6	"Absent"	7	7	5
17	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	18	"Present"	7	7	6
18	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	8	"Absent"	6	5	7
19	"WITnumErr_ww"	32	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	29	"Present"	7	7	6
20	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	14	"Absent"	7	7	4
21	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	8	"Present"	7	6	2
22	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	9	"Absent"	7	7	4
