"Observer"	"Subject"	"Type"	"value"	"PrimeType"	"Estimate"	"Task"
"Absent"	96	"Black_C"	0.375	"Black"	"C"	"WIT"
"Present"	97	"Black_C"	0.625	"Black"	"C"	"WIT"
"Absent"	98	"Black_C"	0.229166666666667	"Black"	"C"	"WIT"
"Present"	99	"Black_C"	0.708333333333333	"Black"	"C"	"WIT"
"Absent"	100	"Black_C"	0.395833333333333	"Black"	"C"	"WIT"
"Present"	101	"Black_C"	0.8125	"Black"	"C"	"WIT"
"Present"	1	"Black_A"	0.560975609756098	"Black"	"A"	"WIT"
"Absent"	2	"Black_A"	0.4	"Black"	"A"	"WIT"
"Present"	3	"Black_A"	0.461538461538462	"Black"	"A"	"WIT"
"Present"	5	"Black_A"	0.630434782608696	"Black"	"A"	"WIT"
"Absent"	6	"Black_A"	0.631578947368421	"Black"	"A"	"WIT"
"Absent"	8	"Black_A"	0.577777777777778	"Black"	"A"	"WIT"
"Absent"	10	"Black_A"	0.428571428571429	"Black"	"A"	"WIT"
"Present"	11	"Black_A"	0.633333333333333	"Black"	"A"	"WIT"
"Absent"	12	"Black_A"	0.611111111111111	"Black"	"A"	"WIT"
"Present"	13	"Black_A"	0.352941176470588	"Black"	"A"	"WIT"
"Absent"	14	"Black_A"	0.633333333333333	"Black"	"A"	"WIT"
"Absent"	16	"Black_A"	0.44	"Black"	"A"	"WIT"
"Present"	17	"Black_A"	0.545454545454546	"Black"	"A"	"WIT"
"Absent"	18	"Black_A"	0.551020408163265	"Black"	"A"	"WIT"
"Present"	19	"Black_A"	0.125	"Black"	"A"	"WIT"
"Absent"	20	"Black_A"	0.9375	"Black"	"A"	"WIT"
"Present"	21	"Black_A"	0.555555555555556	"Black"	"A"	"WIT"
"Absent"	22	"Black_A"	0.405405405405405	"Black"	"A"	"WIT"
"Present"	23	"Black_A"	0.470588235294118	"Black"	"A"	"WIT"
"Absent"	24	"Black_A"	0.411764705882353	"Black"	"A"	"WIT"
"Present"	25	"Black_A"	0.27027027027027	"Black"	"A"	"WIT"
"Absent"	26	"Black_A"	0.392857142857143	"Black"	"A"	"WIT"
"Present"	27	"Black_A"	0.210526315789474	"Black"	"A"	"WIT"
"Present"	29	"Black_A"	0.45945945945946	"Black"	"A"	"WIT"
"Absent"	30	"Black_A"	0.5	"Black"	"A"	"WIT"
"Present"	31	"Black_A"	0.568627450980392	"Black"	"A"	"WIT"
"Absent"	32	"Black_A"	0.311111111111111	"Black"	"A"	"WIT"
"Present"	33	"Black_A"	0.166666666666667	"Black"	"A"	"WIT"
"Absent"	34	"Black_A"	0.475	"Black"	"A"	"WIT"
"Present"	35	"Black_A"	0.552631578947368	"Black"	"A"	"WIT"
"Present"	37	"Black_A"	0.606060606060606	"Black"	"A"	"WIT"
"Absent"	38	"Black_A"	0.666666666666667	"Black"	"A"	"WIT"
"Absent"	40	"Black_A"	0.469387755102041	"Black"	"A"	"WIT"
"Present"	41	"Black_A"	0.653846153846154	"Black"	"A"	"WIT"
"Absent"	42	"Black_A"	0.680851063829787	"Black"	"A"	"WIT"
"Present"	43	"Black_A"	0.375	"Black"	"A"	"WIT"
"Absent"	44	"Black_A"	0.75	"Black"	"A"	"WIT"
"Present"	45	"Black_A"	0.357142857142857	"Black"	"A"	"WIT"
"Absent"	46	"Black_A"	0.526315789473684	"Black"	"A"	"WIT"
"Present"	47	"Black_A"	0.566666666666667	"Black"	"A"	"WIT"
"Absent"	48	"Black_A"	0.411764705882353	"Black"	"A"	"WIT"
"Present"	49	"Black_A"	0.608695652173913	"Black"	"A"	"WIT"
"Absent"	50	"Black_A"	0.735294117647059	"Black"	"A"	"WIT"
"Present"	51	"Black_A"	0.526315789473684	"Black"	"A"	"WIT"
"Absent"	52	"Black_A"	0.518518518518519	"Black"	"A"	"WIT"
"Absent"	54	"Black_A"	0.689655172413793	"Black"	"A"	"WIT"
"Present"	55	"Black_A"	0.542857142857143	"Black"	"A"	"WIT"
"Absent"	56	"Black_A"	0.566666666666667	"Black"	"A"	"WIT"
"Present"	57	"Black_A"	0.5	"Black"	"A"	"WIT"
"Absent"	58	"Black_A"	0.333333333333333	"Black"	"A"	"WIT"
"Absent"	60	"Black_A"	0.5	"Black"	"A"	"WIT"
"Present"	61	"Black_A"	0.519230769230769	"Black"	"A"	"WIT"
"Absent"	62	"Black_A"	0.571428571428572	"Black"	"A"	"WIT"
"Present"	63	"Black_A"	0.347826086956522	"Black"	"A"	"WIT"
"Absent"	64	"Black_A"	0.558823529411765	"Black"	"A"	"WIT"
"Present"	65	"Black_A"	0.604651162790698	"Black"	"A"	"WIT"
"Absent"	66	"Black_A"	0.518518518518519	"Black"	"A"	"WIT"
"Present"	67	"Black_A"	0.24	"Black"	"A"	"WIT"
"Absent"	68	"Black_A"	0.365853658536585	"Black"	"A"	"WIT"
"Present"	69	"Black_A"	0.386363636363636	"Black"	"A"	"WIT"
"Absent"	70	"Black_A"	0.583333333333333	"Black"	"A"	"WIT"
"Present"	71	"Black_A"	0.636363636363636	"Black"	"A"	"WIT"
"Absent"	72	"Black_A"	0.828571428571429	"Black"	"A"	"WIT"
"Present"	73	"Black_A"	0.296296296296296	"Black"	"A"	"WIT"
"Absent"	74	"Black_A"	0	"Black"	"A"	"WIT"
"Present"	75	"Black_A"	0.642857142857143	"Black"	"A"	"WIT"
"Absent"	76	"Black_A"	0.2	"Black"	"A"	"WIT"
"Present"	77	"Black_A"	0.375	"Black"	"A"	"WIT"
"Absent"	78	"Black_A"	0.75	"Black"	"A"	"WIT"
"Present"	79	"Black_A"	0.625	"Black"	"A"	"WIT"
"Absent"	80	"Black_A"	0.575757575757576	"Black"	"A"	"WIT"
"Present"	81	"Black_A"	0.461538461538462	"Black"	"A"	"WIT"
"Absent"	82	"Black_A"	0.326086956521739	"Black"	"A"	"WIT"
"Present"	83	"Black_A"	0.333333333333333	"Black"	"A"	"WIT"
"Absent"	84	"Black_A"	0.3	"Black"	"A"	"WIT"
"Present"	85	"Black_A"	0.7	"Black"	"A"	"WIT"
"Absent"	86	"Black_A"	0.472222222222222	"Black"	"A"	"WIT"
"Present"	87	"Black_A"	0.1875	"Black"	"A"	"WIT"
"Absent"	88	"Black_A"	0.40625	"Black"	"A"	"WIT"
"Present"	89	"Black_A"	0.766666666666667	"Black"	"A"	"WIT"
"Absent"	90	"Black_A"	0.478260869565217	"Black"	"A"	"WIT"
"Present"	91	"Black_A"	0.476190476190476	"Black"	"A"	"WIT"
"Absent"	92	"Black_A"	0.68421052631579	"Black"	"A"	"WIT"
"Present"	93	"Black_A"	0.518518518518519	"Black"	"A"	"WIT"
"Absent"	94	"Black_A"	0.648648648648649	"Black"	"A"	"WIT"
"Present"	95	"Black_A"	0.384615384615385	"Black"	"A"	"WIT"
"Absent"	96	"Black_A"	0.533333333333333	"Black"	"A"	"WIT"
"Present"	97	"Black_A"	0.611111111111111	"Black"	"A"	"WIT"
"Absent"	98	"Black_A"	0.675675675675676	"Black"	"A"	"WIT"
"Present"	99	"Black_A"	0.142857142857143	"Black"	"A"	"WIT"
"Absent"	100	"Black_A"	0.620689655172414	"Black"	"A"	"WIT"
"Present"	101	"Black_A"	0.777777777777778	"Black"	"A"	"WIT"
"Present"	1	"White_C"	0	"White"	"C"	"WIT"
"Absent"	2	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Present"	3	"White_C"	0.541666666666667	"White"	"C"	"WIT"
"Present"	5	"White_C"	0.0833333333333333	"White"	"C"	"WIT"
"Absent"	6	"White_C"	0.395833333333333	"White"	"C"	"WIT"
"Absent"	8	"White_C"	0.0208333333333334	"White"	"C"	"WIT"
"Absent"	10	"White_C"	0.395833333333333	"White"	"C"	"WIT"
"Present"	11	"White_C"	0.3125	"White"	"C"	"WIT"
"Absent"	12	"White_C"	0.1875	"White"	"C"	"WIT"
"Present"	13	"White_C"	0.541666666666667	"White"	"C"	"WIT"
"Absent"	14	"White_C"	0.541666666666667	"White"	"C"	"WIT"
"Absent"	16	"White_C"	0.520833333333333	"White"	"C"	"WIT"
"Present"	17	"White_C"	0.125	"White"	"C"	"WIT"
"Absent"	18	"White_C"	0.0625	"White"	"C"	"WIT"
"Present"	19	"White_C"	0.333333333333333	"White"	"C"	"WIT"
"Absent"	20	"White_C"	0.5	"White"	"C"	"WIT"
"Present"	21	"White_C"	0.583333333333333	"White"	"C"	"WIT"
"Absent"	22	"White_C"	0.270833333333333	"White"	"C"	"WIT"
"Present"	23	"White_C"	0.5625	"White"	"C"	"WIT"
"Absent"	24	"White_C"	0.625	"White"	"C"	"WIT"
"Present"	25	"White_C"	0.291666666666667	"White"	"C"	"WIT"
"Absent"	26	"White_C"	0.5	"White"	"C"	"WIT"
"Present"	27	"White_C"	0.5	"White"	"C"	"WIT"
"Present"	29	"White_C"	0.229166666666667	"White"	"C"	"WIT"
"Absent"	30	"White_C"	0.541666666666667	"White"	"C"	"WIT"
"Present"	31	"White_C"	0.208333333333333	"White"	"C"	"WIT"
"Absent"	32	"White_C"	0.0208333333333334	"White"	"C"	"WIT"
"Present"	33	"White_C"	0.4375	"White"	"C"	"WIT"
"Absent"	34	"White_C"	0.166666666666667	"White"	"C"	"WIT"
"Present"	35	"White_C"	0.3125	"White"	"C"	"WIT"
"Present"	37	"White_C"	0.270833333333333	"White"	"C"	"WIT"
"Absent"	38	"White_C"	0.583333333333333	"White"	"C"	"WIT"
"Absent"	40	"White_C"	0.125	"White"	"C"	"WIT"
"Present"	41	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Absent"	42	"White_C"	-0.0416666666666666	"White"	"C"	"WIT"
"Present"	43	"White_C"	0.5	"White"	"C"	"WIT"
"Absent"	44	"White_C"	0.520833333333333	"White"	"C"	"WIT"
"Present"	45	"White_C"	0.5	"White"	"C"	"WIT"
"Absent"	46	"White_C"	0.4375	"White"	"C"	"WIT"
"Present"	47	"White_C"	0.520833333333333	"White"	"C"	"WIT"
"Absent"	48	"White_C"	0.25	"White"	"C"	"WIT"
"Present"	49	"White_C"	0.1875	"White"	"C"	"WIT"
"Absent"	50	"White_C"	0.125	"White"	"C"	"WIT"
"Present"	51	"White_C"	0.270833333333333	"White"	"C"	"WIT"
"Absent"	52	"White_C"	0.354166666666667	"White"	"C"	"WIT"
"Absent"	54	"White_C"	0.3125	"White"	"C"	"WIT"
"Present"	55	"White_C"	0.458333333333333	"White"	"C"	"WIT"
"Absent"	56	"White_C"	0.375	"White"	"C"	"WIT"
"Present"	57	"White_C"	0.666666666666667	"White"	"C"	"WIT"
"Absent"	58	"White_C"	0.333333333333333	"White"	"C"	"WIT"
"Absent"	60	"White_C"	0.0833333333333334	"White"	"C"	"WIT"
"Present"	61	"White_C"	-0.0416666666666666	"White"	"C"	"WIT"
"Absent"	62	"White_C"	0.520833333333333	"White"	"C"	"WIT"
"Present"	63	"White_C"	0.125	"White"	"C"	"WIT"
"Absent"	64	"White_C"	0.145833333333333	"White"	"C"	"WIT"
"Present"	65	"White_C"	0.1875	"White"	"C"	"WIT"
"Absent"	66	"White_C"	0.604166666666667	"White"	"C"	"WIT"
"Present"	67	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Absent"	68	"White_C"	0.145833333333333	"White"	"C"	"WIT"
"Present"	69	"White_C"	0.104166666666667	"White"	"C"	"WIT"
"Absent"	70	"White_C"	0.0208333333333334	"White"	"C"	"WIT"
"Present"	71	"White_C"	0.4375	"White"	"C"	"WIT"
"Absent"	72	"White_C"	0.25	"White"	"C"	"WIT"
"Present"	73	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Absent"	74	"White_C"	0.6875	"White"	"C"	"WIT"
"Present"	75	"White_C"	0.166666666666667	"White"	"C"	"WIT"
"Absent"	76	"White_C"	0.666666666666667	"White"	"C"	"WIT"
"Present"	77	"White_C"	0.5625	"White"	"C"	"WIT"
"Absent"	78	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Present"	79	"White_C"	0.104166666666667	"White"	"C"	"WIT"
"Absent"	80	"White_C"	0.354166666666667	"White"	"C"	"WIT"
"Present"	81	"White_C"	0.145833333333333	"White"	"C"	"WIT"
"Absent"	82	"White_C"	0.145833333333333	"White"	"C"	"WIT"
"Present"	83	"White_C"	0.520833333333333	"White"	"C"	"WIT"
"Absent"	84	"White_C"	0.479166666666667	"White"	"C"	"WIT"
"Present"	85	"White_C"	0.541666666666667	"White"	"C"	"WIT"
"Absent"	86	"White_C"	0.4375	"White"	"C"	"WIT"
"Present"	87	"White_C"	0.458333333333333	"White"	"C"	"WIT"
"Absent"	88	"White_C"	0.375	"White"	"C"	"WIT"
"Present"	89	"White_C"	0.1875	"White"	"C"	"WIT"
"Absent"	90	"White_C"	0.229166666666667	"White"	"C"	"WIT"
"Present"	91	"White_C"	0.395833333333333	"White"	"C"	"WIT"
"Absent"	92	"White_C"	0.583333333333333	"White"	"C"	"WIT"
"Present"	93	"White_C"	0.270833333333333	"White"	"C"	"WIT"
"Absent"	94	"White_C"	0.458333333333333	"White"	"C"	"WIT"
"Present"	95	"White_C"	0.208333333333333	"White"	"C"	"WIT"
"Absent"	96	"White_C"	0.291666666666667	"White"	"C"	"WIT"
"Present"	97	"White_C"	0.5625	"White"	"C"	"WIT"
"Absent"	98	"White_C"	0.229166666666667	"White"	"C"	"WIT"
"Present"	99	"White_C"	0.583333333333333	"White"	"C"	"WIT"
"Absent"	100	"White_C"	0.458333333333333	"White"	"C"	"WIT"
"Present"	101	"White_C"	0.645833333333333	"White"	"C"	"WIT"
"Present"	1	"White_A"	0.333333333333333	"White"	"A"	"WIT"
"Absent"	2	"White_A"	0.68	"White"	"A"	"WIT"
"Present"	3	"White_A"	0.363636363636364	"White"	"A"	"WIT"
"Present"	5	"White_A"	0.386363636363636	"White"	"A"	"WIT"
"Absent"	6	"White_A"	0.379310344827586	"White"	"A"	"WIT"
"Absent"	8	"White_A"	0.340425531914894	"White"	"A"	"WIT"
"Absent"	10	"White_A"	0.517241379310345	"White"	"A"	"WIT"
"Present"	11	"White_A"	0.424242424242424	"White"	"A"	"WIT"
"Absent"	12	"White_A"	0.692307692307692	"White"	"A"	"WIT"
"Present"	13	"White_A"	0.318181818181818	"White"	"A"	"WIT"
"Absent"	14	"White_A"	0.590909090909091	"White"	"A"	"WIT"
"Absent"	16	"White_A"	0.260869565217391	"White"	"A"	"WIT"
"Present"	17	"White_A"	0.428571428571429	"White"	"A"	"WIT"
"Absent"	18	"White_A"	0.177777777777778	"White"	"A"	"WIT"
"Present"	19	"White_A"	0.90625	"White"	"A"	"WIT"
"Absent"	20	"White_A"	0.583333333333333	"White"	"A"	"WIT"
"Present"	21	"White_A"	0.4	"White"	"A"	"WIT"
"Absent"	22	"White_A"	0.257142857142857	"White"	"A"	"WIT"
"Present"	23	"White_A"	0.523809523809524	"White"	"A"	"WIT"
"Absent"	24	"White_A"	0.222222222222222	"White"	"A"	"WIT"
"Present"	25	"White_A"	0.617647058823529	"White"	"A"	"WIT"
"Absent"	26	"White_A"	0.458333333333333	"White"	"A"	"WIT"
"Present"	27	"White_A"	0.583333333333333	"White"	"A"	"WIT"
"Present"	29	"White_A"	0.405405405405405	"White"	"A"	"WIT"
"Absent"	30	"White_A"	0.545454545454545	"White"	"A"	"WIT"
"Present"	31	"White_A"	0.184210526315789	"White"	"A"	"WIT"
"Absent"	32	"White_A"	0.404255319148936	"White"	"A"	"WIT"
"Present"	33	"White_A"	0.333333333333333	"White"	"A"	"WIT"
"Absent"	34	"White_A"	0.375	"White"	"A"	"WIT"
"Present"	35	"White_A"	0.393939393939394	"White"	"A"	"WIT"
"Present"	37	"White_A"	0.571428571428571	"White"	"A"	"WIT"
"Absent"	38	"White_A"	0.45	"White"	"A"	"WIT"
"Absent"	40	"White_A"	0.404761904761905	"White"	"A"	"WIT"
"Present"	41	"White_A"	0.4	"White"	"A"	"WIT"
"Absent"	42	"White_A"	0.54	"White"	"A"	"WIT"
"Present"	43	"White_A"	0.208333333333333	"White"	"A"	"WIT"
"Absent"	44	"White_A"	0.652173913043478	"White"	"A"	"WIT"
"Present"	45	"White_A"	0.416666666666667	"White"	"A"	"WIT"
"Absent"	46	"White_A"	0.592592592592593	"White"	"A"	"WIT"
"Present"	47	"White_A"	0.347826086956522	"White"	"A"	"WIT"
"Absent"	48	"White_A"	0.666666666666667	"White"	"A"	"WIT"
"Present"	49	"White_A"	0.41025641025641	"White"	"A"	"WIT"
"Absent"	50	"White_A"	0.547619047619048	"White"	"A"	"WIT"
"Present"	51	"White_A"	0.571428571428571	"White"	"A"	"WIT"
"Absent"	52	"White_A"	0.419354838709677	"White"	"A"	"WIT"
"Absent"	54	"White_A"	0.454545454545455	"White"	"A"	"WIT"
"Present"	55	"White_A"	0.346153846153846	"White"	"A"	"WIT"
"Absent"	56	"White_A"	0.533333333333333	"White"	"A"	"WIT"
"Present"	57	"White_A"	0.375	"White"	"A"	"WIT"
"Absent"	58	"White_A"	0.5	"White"	"A"	"WIT"
"Absent"	60	"White_A"	0.477272727272727	"White"	"A"	"WIT"
"Present"	61	"White_A"	0.38	"White"	"A"	"WIT"
"Absent"	62	"White_A"	0.652173913043478	"White"	"A"	"WIT"
"Present"	63	"White_A"	0.738095238095238	"White"	"A"	"WIT"
"Absent"	64	"White_A"	0.585365853658537	"White"	"A"	"WIT"
"Present"	65	"White_A"	0.333333333333333	"White"	"A"	"WIT"
"Absent"	66	"White_A"	0.473684210526316	"White"	"A"	"WIT"
"Present"	67	"White_A"	0.36	"White"	"A"	"WIT"
"Absent"	68	"White_A"	0.48780487804878	"White"	"A"	"WIT"
"Present"	69	"White_A"	0.441860465116279	"White"	"A"	"WIT"
"Absent"	70	"White_A"	0.574468085106383	"White"	"A"	"WIT"
"Present"	71	"White_A"	0.740740740740741	"White"	"A"	"WIT"
"Absent"	72	"White_A"	0.666666666666667	"White"	"A"	"WIT"
"Present"	73	"White_A"	0.32	"White"	"A"	"WIT"
"Absent"	74	"White_A"	0.2	"White"	"A"	"WIT"
"Present"	75	"White_A"	0.55	"White"	"A"	"WIT"
"Absent"	76	"White_A"	0.375	"White"	"A"	"WIT"
"Present"	77	"White_A"	0.619047619047619	"White"	"A"	"WIT"
"Absent"	78	"White_A"	0.4	"White"	"A"	"WIT"
"Present"	79	"White_A"	0.604651162790698	"White"	"A"	"WIT"
"Absent"	80	"White_A"	0.419354838709677	"White"	"A"	"WIT"
"Present"	81	"White_A"	0.317073170731707	"White"	"A"	"WIT"
"Absent"	82	"White_A"	0.365853658536585	"White"	"A"	"WIT"
"Present"	83	"White_A"	0.130434782608696	"White"	"A"	"WIT"
"Absent"	84	"White_A"	0.36	"White"	"A"	"WIT"
"Present"	85	"White_A"	0.272727272727273	"White"	"A"	"WIT"
"Absent"	86	"White_A"	0.259259259259259	"White"	"A"	"WIT"
"Present"	87	"White_A"	0.307692307692308	"White"	"A"	"WIT"
"Absent"	88	"White_A"	0.366666666666667	"White"	"A"	"WIT"
"Present"	89	"White_A"	0.128205128205128	"White"	"A"	"WIT"
"Absent"	90	"White_A"	0.648648648648649	"White"	"A"	"WIT"
"Present"	91	"White_A"	0.344827586206897	"White"	"A"	"WIT"
"Absent"	92	"White_A"	0.65	"White"	"A"	"WIT"
"Present"	93	"White_A"	0.371428571428571	"White"	"A"	"WIT"
"Absent"	94	"White_A"	0.5	"White"	"A"	"WIT"
"Present"	95	"White_A"	0.184210526315789	"White"	"A"	"WIT"
"Absent"	96	"White_A"	0.676470588235294	"White"	"A"	"WIT"
"Present"	97	"White_A"	0.571428571428571	"White"	"A"	"WIT"
"Absent"	98	"White_A"	0.594594594594595	"White"	"A"	"WIT"
"Present"	99	"White_A"	0.5	"White"	"A"	"WIT"
"Absent"	100	"White_A"	0.423076923076923	"White"	"A"	"WIT"
"Present"	101	"White_A"	0.588235294117647	"White"	"A"	"WIT"
"Present"	1	"PDPbiasDiff"	0.227642276422764	NA	NA	"WIT"
"Absent"	2	"PDPbiasDiff"	-0.28	NA	NA	"WIT"
"Present"	3	"PDPbiasDiff"	0.0979020979020979	NA	NA	"WIT"
"Present"	5	"PDPbiasDiff"	0.244071146245059	NA	NA	"WIT"
"Absent"	6	"PDPbiasDiff"	0.252268602540835	NA	NA	"WIT"
"Absent"	8	"PDPbiasDiff"	0.237352245862884	NA	NA	"WIT"
"Absent"	10	"PDPbiasDiff"	-0.0886699507389163	NA	NA	"WIT"
"Present"	11	"PDPbiasDiff"	0.209090909090909	NA	NA	"WIT"
"Absent"	12	"PDPbiasDiff"	-0.0811965811965812	NA	NA	"WIT"
"Present"	13	"PDPbiasDiff"	0.0347593582887701	NA	NA	"WIT"
"Absent"	14	"PDPbiasDiff"	0.0424242424242424	NA	NA	"WIT"
"Absent"	16	"PDPbiasDiff"	0.179130434782609	NA	NA	"WIT"
"Present"	17	"PDPbiasDiff"	0.116883116883117	NA	NA	"WIT"
"Absent"	18	"PDPbiasDiff"	0.373242630385487	NA	NA	"WIT"
"Present"	19	"PDPbiasDiff"	-0.78125	NA	NA	"WIT"
"Absent"	20	"PDPbiasDiff"	0.354166666666667	NA	NA	"WIT"
"Present"	21	"PDPbiasDiff"	0.155555555555556	NA	NA	"WIT"
"Absent"	22	"PDPbiasDiff"	0.148262548262548	NA	NA	"WIT"
"Present"	23	"PDPbiasDiff"	-0.0532212885154061	NA	NA	"WIT"
"Absent"	24	"PDPbiasDiff"	0.189542483660131	NA	NA	"WIT"
"Present"	25	"PDPbiasDiff"	-0.347376788553259	NA	NA	"WIT"
